target,region,total_cells,cells_with_target,total_target_records,mean_target_per_cell,median_target_per_cell,pct_high_confidence,pct_moderate_plus,pct_low_confidence,pct_no_evidence
NARW,Study Region,310,24,29,1.2,1,0,6.8,0.3,92.9
Blue_whale,Study Region,310,37,102,2.8,1,1,10.3,0.3,89.4
Shelf_baleen,Study Region,310,224,1259,5.6,4,23.9,63.5,1.9,34.5
Harbour_porpoise,Study Region,310,34,47,1.4,1,0,11,0,89
Small_odontocetes,Study Region,310,296,3207,10.8,6,39.4,70,2.6,27.4
Deep_divers,Study Region,310,79,1209,15.3,1,2.3,18.1,1.6,80.3
NARW,WEA Areas,24,1,2,2,2,0,4.2,0,95.8
Blue_whale,WEA Areas,24,5,6,1.2,1,0,12.5,4.2,83.3
Shelf_baleen,WEA Areas,24,22,190,8.6,4,33.3,70.8,8.3,20.8
Harbour_porpoise,WEA Areas,24,2,2,1,1,0,8.3,0,91.7
Small_odontocetes,WEA Areas,24,24,200,8.3,6,45.8,79.2,8.3,12.5
Deep_divers,WEA Areas,24,1,1,1,1,0,0,4.2,95.8
